environment	category	r_squared
Wastewater	R06601	0.0539521548314544
Wastewater	R07281	0.0826937052005468
Wastewater	R07359	0.2575031491514512
Wastewater	R07606	0.0797675484971931
Wastewater	R07607	0.0769062799838098
Birds	R00004	0.1090861932966723
Birds	R00104	0.0501918612460465
Birds	R00251	0.1649494642828398
Birds	R00289	0.1792790102570275
Birds	R00310	0.1521970809424216
Birds	R00401	0.0559083482642104
Birds	R00425	0.22812230912275
Birds	R00472	0.2495512807810733
Birds	R00480	0.2316044606080715
Birds	R00519	0.2059402511087814
Birds	R00586	0.115110079067577
Birds	R00601	0.0862741665379627
Birds	R00660	0.1059441074128044
Birds	R01066	0.1455005855816159
Birds	R01082	0.195337989037291
Birds	R01135	0.2543806649380487
Birds	R01213	0.1066574763409099
Birds	R01516	0.0983291935705218
Birds	R01639	0.0857077356148412
Birds	R01737	0.0647839772511683
Birds	R01868	0.1381347951066376
Birds	R02016	0.0570678934767938
Birds	R02292	0.1852648486601401
Birds	R02328	0.0747476450296692
Birds	R02777	0.0999406833453058
Birds	R02918	0.1152674807919161
Birds	R03220	0.3139084899726457
Birds	R03223	0.1800247687599011
Birds	R03532	0.0548882913645901
Birds	R03595	0.126367428271834
Birds	R04405	0.0698817534439063
Birds	R04448	0.1559429840475703
Birds	R04463	0.2922258443080939
Birds	R05218	0.0561637145422188
Birds	R05627	0.1650025992818041
Birds	R05636	0.1182448932711663
Birds	R05706	0.1274871546246694
Birds	R05884	0.1375444947962152
Birds	R06513	0.0728810608945588
Birds	R06514	0.0757333088538514
Birds	R06601	0.0905968469109063
Birds	R06613	0.0596371482139048
Birds	R07281	0.3349290528249637
Birds	R07359	0.1390571087835962
Birds	R07606	0.263630656730428
Birds	R07607	0.4155776123668078
