accession	filePath	fileType	uncompressedLengthBytes
GCF_000018145.1	GCF_000018145.1/GCF_000018145.1_ASM1814v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	4473618
GCF_000018145.1	GCF_000018145.1/genomic.gff	GFF3	2659432
GCF_000018145.1	GCF_000018145.1/protein.faa	PROTEIN_FASTA	1619341
GCF_000018145.1	GCF_000018145.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000018525.1	GCF_000018525.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	3606585
GCF_000018525.1	GCF_000018525.1/genomic.gbff	GENBANK_FLAT_FILE	8886854
GCF_000018525.1	GCF_000018525.1/GCF_000018525.1_ASM1852v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	3354322
GCF_000018525.1	GCF_000018525.1/genomic.gff	GFF3	2136221
GCF_000018525.1	GCF_000018525.1/protein.faa	PROTEIN_FASTA	1149824
GCF_000018525.1	GCF_000018525.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000018685.1	GCF_000018685.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	4800334
GCF_000018685.1	GCF_000018685.1/genomic.gbff	GENBANK_FLAT_FILE	11643637
GCF_000018685.1	GCF_000018685.1/GCF_000018685.1_ASM1868v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	4908260
GCF_000018685.1	GCF_000018685.1/genomic.gff	GFF3	2415928
GCF_000018685.1	GCF_000018685.1/protein.faa	PROTEIN_FASTA	1678645
GCF_000018685.1	GCF_000018685.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000018785.1	GCF_000018785.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	1679273
GCF_000018785.1	GCF_000018785.1/genomic.gbff	GENBANK_FLAT_FILE	4137073
GCF_000018785.1	GCF_000018785.1/GCF_000018785.1_ASM1878v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	1515766
