category	Z_alpha_category	Z_beta_category	n_envs_used
K23999	1.0092309953116327	1.0097885083276266	3
K24017	0.9924852001236446	0.9783266906584455	8
K24018	1.852837636286972	1.7928082787749804	8
K24042	1.2303866816862121	1.2944336214110108	8
K24263	1.9041368787507202	1.8286397575668873	7
K24866	2.128873836056861	2.08030824752139	7
K25004	1.2986313129644047	1.2484457582658635	7
K25009	3.4218556770483977	3.173009896830289	8
K25031	1.3339036857943793	1.2945968754491421	8
K25528	1.0049882009239937	0.949602420732164	4
K25801	0.9342749403799118	0.9190410151141001	7
K25995	0.9342749403799118	0.9190410151141001	7
K25996	0.9342749403799118	0.9190410151141001	7
K26138	1.0999078606524693	1.126914588125254	7
K26139	1.0999078606524693	1.126914588125254	7
K27797	1.3942102738114084	1.3604634555953712	7
K27802	1.0123513322153717	0.9915585480393196	2
K28067	1.0941637542819211	1.0941798861590857	3
K28068	1.0941637542819211	1.0941798861590857	3
K28069	1.0941637542819211	1.0941798861590857	3
K28126	1.0516401495908576	1.1412168116312098	4
K28192	0.7480547890533602	0.7458097872528858	3
K28203	2.2218173058504074	2.237682855182471	6
K28207	3.6944352029593928	3.609022957019662	6
K28208	3.6944352029593928	3.609022957019662	6
K28462	0.9591215031469033	0.9554959343319093	4
K28660	0.9080641199039524	0.9114626600611151	8
